Crop,Temperature,Nitrogen,Phosphorus,Potassium,Humidity,pH_Value,Rainfall
Rice,20.87974371,90,42,43,82.00274423,6.502985292,202.9355362
Rice,21.77046169,85,58,41,80.31964408,7.038096361,226.6555374
Rice,23.00445915,60,55,44,82.3207629,7.840207144,263.9642476
Rice,26.49109635,74,35,40,80.15836264,6.980400905,242.8640342
Rice,20.13017482,78,42,42,81.60487287,7.628472891,262.7173405
Rice,23.05804872,69,37,42,83.37011772,7.073453503,251.0549998
Rice,22.70883798,69,55,38,82.63941394,5.70080568,271.3248604
Rice,20.27774362,94,53,40,82.89408619,5.718627178,241.9741949
Rice,24.51588066,89,54,38,83.5352163,6.685346424,230.4462359
Rice,23.22397386,68,58,38,83.03322691,6.336253525,221.2091958
Rice,26.52723513,91,53,40,81.41753846,5.386167788,264.6148697
Rice,23.97898217,90,46,42,81.45061596,7.50283396,250.0832336
Rice,26.80079604,78,58,44,80.88684822,5.108681786,284.4364567
Rice,24.01497622,93,56,36,82.05687182,6.98435366,185.2773389
Rice,25.66585205,94,50,37,80.66385045,6.94801983,209.5869708
Rice,24.28209415,60,48,39,80.30025587,7.042299069,231.0863347
Rice,21.58711777,85,38,41,82.7883708,6.249050656,276.6552459
Rice,23.79391957,91,35,39,80.41817957,6.970859754,206.2611855
Rice,21.8652524,77,38,36,80.1923008,5.953933276,224.5550169
Rice,23.57943626,88,35,40,83.58760316,5.85393208,291.2986618
Rice,21.32504158,89,45,36,80.47476396,6.442475375,185.4974732
Rice,25.15745531,76,40,43,83.11713476,5.070175667,231.3843163
Rice,21.94766735,67,59,41,80.97384195,6.012632591,213.3560921
Rice,21.0525355,83,41,43,82.67839517,6.254028451,233.1075816
Rice,23.48381344,98,47,37,81.33265073,7.375482851,224.0581164
Rice,25.0756354,66,53,41,80.52389148,7.778915154,257.0038865
Rice,26.35927159,97,59,43,84.04403589,6.286500176,271.3586137
Rice,24.52922681,97,50,41,80.54498576,7.070959995,260.2634026
Rice,20.77576147,60,49,44,84.49774397,6.244841491,240.0810647
Rice,22.30157427,84,51,35,80.64416466,6.043304899,197.9791215
Rice,21.44653958,73,57,41,84.94375962,5.824709117,272.2017204
Rice,22.17931888,92,35,40,80.33127223,6.357389366,200.0882787
Rice,24.52783742,85,37,39,82.73685569,6.364134968,224.6757231
Rice,20.26707606,98,53,38,81.63895217,5.01450727,270.4417274
Rice,25.7354293,88,54,44,83.88266234,6.149410611,233.1321372
Rice,26.79533926,95,55,42,82.1480873,5.950660556,193.3473987
Rice,26.75754171,99,57,35,81.17734011,5.960370061,272.2999056
Rice,23.86330467,95,39,36,83.15250801,5.561398642,285.2493645
Rice,21.01944696,60,43,44,82.95221726,7.416245107,298.4018471
Rice,24.17298839,63,44,41,83.7287574,5.583370042,257.0343554
Rice,22.78133816,62,42,36,82.06719137,6.430010215,248.7183228
Rice,25.62980105,64,45,43,83.52842314,5.534878156,209.9001977
Rice,25.59704938,83,60,36,80.14509262,6.903985986,200.834898
Rice,23.83067496,82,40,40,84.81360127,6.271478838,298.5601175
Rice,26.31355498,85,52,45,82.36698992,7.224285503,265.5355937
Rice,24.8972823,91,35,38,80.52586088,6.13428721,183.6793207
Rice,24.958779,76,49,42,84.47963372,5.206373153,196.9560008
Rice,23.24113501,74,39,38,84.59201843,7.782051313,233.0453455
Rice,21.66628296,79,43,39,80.70960551,7.062779015,210.8142087
Rice,24.63544858,88,55,45,80.41363018,7.730367824,253.7202781
Rice,23.43121862,60,36,43,83.06310136,5.286203711,219.9048349
Rice,20.0454142,76,60,39,80.3477562,6.766240045,208.5810155
Rice,23.85724032,93,56,42,82.22572988,7.382762603,195.0948311
Rice,21.97199397,65,60,43,81.89918197,5.658169482,227.3637009
Rice,26.22916897,95,52,36,83.83625819,5.543360238,286.5083725
Rice,23.44676801,75,38,39,84.79352417,6.215109715,283.9338466
Rice,25.65553461,74,54,38,83.47021081,7.120272972,217.3788583
Rice,24.44345477,91,36,45,82.45432595,5.950647577,267.9761948
Rice,20.2801937,71,46,40,82.1235421,7.236705436,191.9535738
Rice,21.7238313,99,55,35,80.2389895,6.501697816,277.9626192
Rice,20.41447029,72,40,38,82.20802629,7.592490617,245.1511304
Rice,25.75528612,83,58,45,83.51827127,5.875345751,245.6626799
Rice,20.61521424,93,58,38,83.77345559,6.932400225,279.5451717
